,index,uid,τ,ngs_id,mouse,GC,time,cells sampled,normalized dominance score,maximum REI,max Δaffinity,95th percentile Δaffinity,mean Δaffinity,median Δaffinity,id of max REI node,mutations in max REI node,Δaffinity of max REI node,ΔΔaffinity of max REI node,max REI node is root
0,1166,D20_M22_GC96,0.49999999999999994,PR-1-07,22,96,d20,39.0,0.5384615384615384,0.038461538461538464,1.8546500000000001,1.700965,1.0050907692307693,1.1614499999999999,seq4,Y88(H)F A105(H)G N108(L)K,1.3589600000000002,0.05302000000000007,False
1,1159,D20_M22_GC89,0.49999999999999994,PR-1-03,22,89,d20,87.0,0.41379310344827586,0.0475933908045977,1.83375,1.54563,0.7827016091954021,0.7148100000000001,seq33,Y103(H)F F10(L)L S12(L)T Y42(L)H N108(L)K L116(L)I,1.46106,0.9942200000000001,False
2,1090,D15_M10_GC20,0.49999999999999994,PR-2-01,10,20,d15,83.0,0.43902439024390244,0.048616340361445784,2.38719,1.6260770000000002,0.6679490243902438,0.879405,seq49,A40(L)G Y42(L)H,0.76167,-0.04247000000000001,False
3,1158,D20_M22_GC88,0.49999999999999994,PR-1-03,22,88,d20,82.0,0.3902439024390244,0.04878048780487805,1.96522,1.5524309999999983,0.10999582278481014,0.13891999999999996,seq15,T96(H)A P72(L)S N93(L)T L99(L)M L116(L)P,0.08798999999999998,0.07655999999999999,False
4,1156,D20_M22_GC86,0.49999999999999994,PR-1-02,22,86,d20,76.0,0.6842105263157895,0.05016447368421053,2.2266,1.9896875,0.5340869736842105,0.8125850000000001,seq29,I76(H)F L99(L)W L116(L)P,-0.02546,0.0006700000000000005,False
5,1146,D20_M21_GC76,0.49999999999999994,PR-1-05,21,76,d20,69.0,0.7681159420289855,0.05076709692028985,2.12465,1.787844,0.4976404347826088,1.00867,12,A105(H)G A40(L)G,1.25043,0.0,False
6,1153,D20_M21_GC83,0.49999999999999994,PR-1-08,21,83,d20,89.0,0.550561797752809,0.0527782654494382,2.5458000000000003,2.190128,0.86746202247191,0.90807,seq8,Y42(L)H S109(L)R L116(L)V,0.88468,0.795,False
7,1147,D20_M21_GC77,0.49999999999999994,PR-1-05,21,77,d20,77.0,0.6233766233766234,0.054002637987012984,2.66549,2.122766,0.816434794520548,0.90582,seq31,T96(H)A A40(L)G N108(L)Y E125(L)D,1.63612,1.63612,False
8,1081,D15_M6_GC11,0.49999999999999994,PR-2-01,6,11,d15,87.0,0.2988505747126437,0.055046695402298854,1.98159,1.5579419999999995,0.5120090588235294,0.61331,seq29,A105(H)G,0.44629,0.44629,False
9,1180,D20_M24_GC110,0.49999999999999994,PR-1-02,24,110,d20,86.0,0.6744186046511628,0.05682231104651163,1.96023,1.56759,0.7643533720930233,0.77259,seq3,T96(H)A T123(H)A T77(L)A Q105(L)H L116(L)V,0.77259,0.7149,False
