uid,ngs_id,imm_duration,mouse,gc,strain,node,cell_type,plate,hc_barcode,lc_barcode,row,col
D15_M1_GC1,PR-2-01,d15,1,1,wt,RP,GC,2,9,9,A.B.C.D.E.F.G.H,1.2.3.4.5.6.7.8.9.10.11.12
D15_M1_GC2,PR-2-01,d15,1,2,wt,RI,GC,3,2,1,A.B.C.D.E.F.G.H,1.2.3.4.5.6.7.8.9.10.11.12
D15_M1_GC3,PR-2-01,d15,1,3,wt,LI,GC,4,14,2,A.B.C.D.E.F.G.H,1.2.3.4.5.6.7.8.9.10.11.12
D15_M2_GC4,PR-2-01,d15,2,4,wt,RP,GC,5,10,11,A.B.C.D.E.F.G.H,1.2.3.4.5.6.7.8.9.10.11.12
D15_M3_GC5,PR-2-01,d15,3,5,wt,RP,GC,6,7,4,A.B.C.D.E.F.G.H,1.2.3.4.5.6.7.8.9.10.11.12
D15_M3_GC6,PR-2-01,d15,3,6,wt,LP,GC,7,8,15,A.B.C.D.E.F.G.H,1.2.3.4.5.6.7.8.9.10.11.12
D15_M4_GC7,PR-2-01,d15,4,7,wt,RP,GC,8,6,16,A.B.C.D.E.F.G.H,1.2.3.4.5.6.7.8.9.10.11.12
D15_M4_GC8,PR-2-01,d15,4,8,wt,LP,GC,9,4,3,A.B.C.D.E.F.G.H,1.2.3.4.5.6.7.8.9.10.11.12
D15_M5_GC9,PR-2-01,d15,5,9,wt,LP,GC,10,5,5,A.B.C.D.E.F.G.H,1.2.3.4.5.6.7.8.9.10.11.12
D15_M5_GC10,PR-2-01,d15,5,10,wt,LI,GC,11,3,12,A.B.C.D.E.F.G.H,1.2.3.4.5.6.7.8.9.10.11.12
D15_M6_GC11,PR-2-01,d15,6,11,wt,RP,GC,12,15,14,A.B.C.D.E.F.G.H,1.2.3.4.5.6.7.8.9.10.11.12
D15_M6_GC12,PR-2-01,d15,6,12,wt,LP,GC,13,1,13,A.B.C.D.E.F.G.H,1.2.3.4.5.6.7.8.9.10.11.12
D15_M6_GC13,PR-2-01,d15,6,13,wt,RI,GC,14,11,6,A.B.C.D.E.F.G.H,1.2.3.4.5.6.7.8.9.10.11.12
D15_M6_GC14,PR-2-01,d15,6,14,wt,LI,GC,15,13,8,A.B.C.D.E.F.G.H,1.2.3.4.5.6.7.8.9.10.11.12
D15_M7_GC15,PR-2-02,d15,7,15,wt,RI,GC,7,7,7,A.B.C.D.E.F.G.H,1.2.3.4.5.6.7.8.9.10.11.12
D15_M7_GC16,PR-2-02,d15,7,16,wt,RP,GC,9,9,9,A.B.C.D.E.F.G.H,1.2.3.4.5.6.7.8.9.10.11.12
D15_M8_GC17,PR-2-02,d15,8,17,wt,RI,GC,2,2,2,A.B.C.D.E.F.G.H,1.2.3.4.5.6.7.8.9.10.11.12
D15_M9_GC18,PR-2-01,d15,9,18,wt,LI,GC,16,12,7,A.B.C.D.E.F.G.H,1.2.3.4.5.6.7.8.9.10.11.12
D15_M9_GC19,PR-2-02,d15,9,19,wt,RI,GC,14,14,14,A.B.C.D.E.F.G.H,1.2.3.4.5.6.7.8.9.10.11.12
D15_M10_GC20,PR-2-01,d15,10,20,wt,LP,GC,1,16,10,A.B.C.D.E.F.G.H,1.2.3.4.5.6.7.8.9.10.11.12
D15_M10_GC21,PR-2-02,d15,10,21,wt,RI,GC,4,4,4,A.B.C.D.E.F.G.H,1.2.3.4.5.6.7.8.9.10.11.12
D15_M10_GC22,PR-2-02,d15,10,22,wt,LI,GC,8,8,8,A.B.C.D.E.F.G.H,1.2.3.4.5.6.7.8.9.10.11.12
D15_M10_GC23,PR-2-02,d15,10,23,wt,RP,GC,13,13,13,A.B.C.D.E.F.G.H,1.2.3.4.5.6.7.8.9.10.11.12
D15_M11_GC24,PR-2-02,d15,11,24,wt,RP,GC,3,3,3,A.B.C.D.E.F.G.H,1.2.3.4.5.6.7.8.9.10.11.12
D15_M11_GC25,PR-2-02,d15,11,25,wt,RI,GC,5,5,5,A.B.C.D.E.F.G.H,1.2.3.4.5.6.7.8.9.10.11.12
D15_M11_GC26,PR-2-02,d15,11,26,wt,LI,GC,6,6,6,A.B.C.D.E.F.G.H,1.2.3.4.5.6.7.8.9.10.11.12
D15_M12_GC27,PR-2-02,d15,12,27,wt,RP,GC,1,1,1,A.B.C.D.E.F.G.H,1.2.3.4.5.6.7.8.9.10.11.12
D15_M12_GC28,PR-2-02,d15,12,28,wt,LI,GC,11,11,11,A.B.C.D.E.F.G.H,1.2.3.4.5.6.7.8.9.10.11.12
D15_M12_GC29,PR-2-02,d15,12,29,wt,RI,GC,12,12,12,A.B.C.D.E.F.G.H,1.2.3.4.5.6.7.8.9.10.11.12
D15_M13_GC30,PR-2-03,d15,13,30,wt,LP,GC,3,3,3,A.B.C.D.E.F.G.H,1.2.3.4.5.6.7.8.9.10.11.12
D15_M13_GC31,PR-2-03,d15,13,31,wt,LI,GC,10,10,10,A.B.C.D.E.F.G.H,1.2.3.4.5.6.7.8.9.10.11.12
D15_M13_GC32,PR-2-04,d15,13,32,wt,RP,GC,6,6,6,A.B.C.D.E.F.G.H,1.2.3.4.5.6.7.8.9.10.11.12
D15_M13_GC33,PR-2-04,d15,13,33,wt,LP,GC,12,12,12,A.B.C.D.E.F.G.H,1.2.3.4.5.6.7.8.9.10.11.12
D15_M14_GC34,PR-2-03,d15,14,34,wt,LP,GC,2,2,2,A.B.C.D.E.F.G.H,1.2.3.4.5.6.7.8.9.10.11.12
D15_M14_GC35,PR-2-03,d15,14,35,wt,RI,GC,6,6,6,A.B.C.D.E.F.G.H,1.2.3.4.5.6.7.8.9.10.11.12
D15_M14_GC36,PR-2-03,d15,14,36,wt,RP,GC,12,12,12,A.B.C.D.E.F.G.H,1.2.3.4.5.6.7.8.9.10.11.12
D15_M14_GC37,PR-2-04,d15,14,37,wt,RP,GC,7,7,7,A.B.C.D.E.F.G.H,1.2.3.4.5.6.7.8.9.10.11.12
D15_M15_GC38,PR-2-03,d15,15,38,wt,LP,GC,1,1,1,A.B.C.D.E.F.G.H,1.2.3.4.5.6.7.8.9.10.11.12
D15_M16_GC39,PR-2-03,d15,16,39,wt,RI,GC,4,4,4,A.B.C.D.E.F.G.H,1.2.3.4.5.6.7.8.9.10.11.12
D15_M16_GC40,PR-2-04,d15,16,40,wt,RP,GC,15,15,15,A.B.C.D.E.F.G.H,1.2.3.4.5.6.7.8.9.10.11.12
D15_M17_GC41,PR-2-03,d15,17,41,wt,LP,GC,5,5,5,A.B.C.D.E.F.G.H,1.2.3.4.5.6.7.8.9.10.11.12
D15_M17_GC42,PR-2-04,d15,17,42,wt,RI,GC,9,9,9,A.B.C.D.E.F.G.H,1.2.3.4.5.6.7.8.9.10.11.12
D15_M17_GC43,PR-2-04,d15,17,43,wt,LP,GC,13,13,13,A.B.C.D.E.F.G.H,1.2.3.4.5.6.7.8.9.10.11.12
D15_M17_GC44,PR-2-04,d15,17,44,wt,RI,GC,14,14,14,A.B.C.D.E.F.G.H,1.2.3.4.5.6.7.8.9.10.11.12
D15_M17_GC45,PR-2-04,d15,17,45,wt,RP,GC,16,16,16,A.B.C.D.E.F.G.H,1.2.3.4.5.6.7.8.9.10.11.12
D15_M18_GC46,PR-2-03,d15,18,46,wt,LP,GC,7,7,7,A.B.C.D.E.F.G.H,1.2.3.4.5.6.7.8.9.10.11.12
D15_M18_GC47,PR-2-03,d15,18,47,wt,RI,GC,9,9,9,A.B.C.D.E.F.G.H,1.2.3.4.5.6.7.8.9.10.11.12
D15_M18_GC48,PR-2-04,d15,18,48,wt,LP,GC,8,8,8,A.B.C.D.E.F.G.H,1.2.3.4.5.6.7.8.9.10.11.12
D15_M19_GC49,PR-2-03,d15,19,49,wt,RP,GC,8,8,8,A.B.C.D.E.F.G.H,1.2.3.4.5.6.7.8.9.10.11.12
D15_M19_GC50,PR-2-03,d15,19,50,wt,RI,GC,11,11,11,A.B.C.D.E.F.G.H,1.2.3.4.5.6.7.8.9.10.11.12
D15_M19_GC51,PR-2-04,d15,19,51,wt,LP,GC,10,10,10,A.B.C.D.E.F.G.H,1.2.3.4.5.6.7.8.9.10.11.12
D15_M19_GC52,PR-2-04,d15,19,52,wt,RP,GC,11,11,11,A.B.C.D.E.F.G.H,1.2.3.4.5.6.7.8.9.10.11.12
D20_M20_GC53,PR-1-01,d20,20,53,wt,LB,GC,18,1.2.6,1.3.6,A.B.C.D.E.F.G.H,1.2.3.4.5.6.7.8.9.10.11.12
D20_M20_GC54,PR-1-03,d20,20,54,wt,LB,GC,15,1,1,A.B.C.D.E.F.G.H,1.2.3.4.5.6.7.8.9.10.11.12
D20_M20_GC55,PR-1-03,d20,20,55,wt,LB,GC,16,2,2,A.B.C.D.E.F.G.H,1.2.3.4.5.6.7.8.9.10.11.12
D20_M20_GC56,PR-1-04,d20,20,56,wt,RP,GC,2,5,5,A.B.C.D.E.F.G.H,1.2.3.4.5.6.7.8.9.10.11.12
D20_M20_GC57,PR-1-04,d20,20,57,wt,RP,GC,3,6,6,A.B.C.D.E.F.G.H,1.2.3.4.5.6.7.8.9.10.11.12
D20_M20_GC58,PR-1-04,d20,20,58,wt,LP,GC,7,8,8,A.B.C.D.E.F.G.H,1.2.3.4.5.6.7.8.9.10.11.12
D20_M20_GC59,PR-1-04,d20,20,59,wt,RB,GC,14,10,10,A.B.C.D.E.F.G.H,1.2.3.4.5.6.7.8.9.10.11.12
D20_M20_GC60,PR-1-04,d20,20,60,wt,RB,GC,13,9,9,A.B.C.D.E.F.G.H,1.2.3.4.5.6.7.8.9.10.11.12
D20_M20_GC61,PR-1-05,d20,20,61,wt,RB,GC,11,1,1,A.B.C.D.E.F.G.H,1.2.3.4.5.6.7.8.9.10.11.12
D20_M20_GC62,PR-1-05,d20,20,62,wt,LB,GC,17,2,2,A.B.C.D.E.F.G.H,1.2.3.4.5.6.7.8.9.10.11.12
D20_M20_GC63,PR-1-06,d20,20,63,wt,LB,GC,12,6,6,A.B.C.D.E.F.G.H,1.2.3.4.5.6.7.8.9.10.11.12
D20_M20_GC64,PR-1-07,d20,20,64,wt,RB,GC,9,1,1,A.B.C.D.E.F.G.H,1.2.3.4.5.6.7.8.9.10.11.12
D20_M20_GC65,PR-1-07,d20,20,65,wt,RB,GC,10,2,2,A.B.C.D.E.F.G.H,1.2.3.4.5.6.7.8.9.10.11.12
D20_M20_GC66,PR-1-08,d20,20,66,wt,RP,GC,4,5,5,A.B.C.D.E.F.G.H,1.2.3.4.5.6.7.8.9.10.11.12
D20_M20_GC67,PR-1-08,d20,20,67,wt,LP,GC,5,6,6,A.B.C.D.E.F.G.H,1.2.3.4.5.6.7.8.9.10.11.12
D20_M20_GC68,PR-1-08,d20,20,68,wt,LP,GC,6,7,7,A.B.C.D.E.F.G.H,1.2.3.4.5.6.7.8.9.10.11.12
