uid,mouse,gc,2024_12_uid,2024_12_mouse,2024_12_gc,2024_09_uid,2024_09_mouse,2024_09_gc
D15_M13_GC31,13,31,D15_M13_GC32,13,32,PR2.03_mouse1_GC4A,1,4A
D15_M13_GC32,13,32,D15_M13_GC34,13,34,PR2.04_mouse1_GC1A,1,1A
D15_M13_GC33,13,33,D15_M13_GC35,13,35,PR2.04_mouse1_GC2B,1,2B
D15_M14_GC34,14,34,D15_M14_GC36,14,36,PR2.03_mouse2_GC6A,2,6A
D15_M14_GC35,14,35,D15_M14_GC37,14,37,PR2.03_mouse2_GC7B,2,7B
D15_M14_GC36,14,36,D15_M14_GC38,14,38,PR2.03_mouse2_GC5B,2,5B
D15_M14_GC37,14,37,D15_M14_GC39,14,39,PR2.04_mouse2_GC5A,2,5A
D15_M15_GC38,15,38,D15_M15_GC40,15,40,PR2.03_mouse3_GC10A,3,10A
D15_M16_GC39,16,39,D15_M16_GC41,16,41,PR2.03_mouse5_GC19A,5,19A
D15_M16_GC40,16,40,D15_M16_GC42,16,42,PR2.04_mouse5_GC17A,5,17A
D15_M17_GC41,17,41,D15_M17_GC43,17,43,PR2.03_mouse6_GC21B,6,21B
D15_M17_GC42,17,42,D15_M17_GC44,17,44,PR2.04_mouse6_GC22A,6,22A
D15_M17_GC43,17,43,D15_M17_GC45,17,45,PR2.04_mouse6_GC21A,6,21A
D15_M17_GC44,17,44,D15_M17_GC46,17,46,PR2.04_mouse6_GC22B,6,22B
D15_M17_GC45,17,45,D15_M17_GC47,17,47,PR2.04_mouse6_GC20B,6,20B
D15_M18_GC46,18,46,D15_M18_GC48,18,48,PR2.03_mouse7_GC25A,7,25A
D15_M18_GC47,18,47,D15_M18_GC49,18,49,PR2.03_mouse7_GC26B,7,26B
D15_M18_GC48,18,48,D15_M18_GC50,18,50,PR2.04_mouse7_GC25B,7,25B
D15_M19_GC49,19,49,D15_M19_GC51,19,51,PR2.03_mouse8_GC28A,8,28A
D15_M19_GC50,19,50,D15_M19_GC52,19,52,PR2.03_mouse8_GC30A,8,30A
D15_M19_GC51,19,51,D15_M19_GC53,19,53,PR2.04_mouse8_GC29B,8,29B
D15_M19_GC52,19,52,D15_M19_GC54,19,54,PR2.04_mouse8_GC28B,8,28B
D20_M20_GC53,20,53,D20_M20_GC55,20,55,PR1.01_mouse1_GC20,1,20
D20_M20_GC54,20,54,D20_M20_GC56,20,56,PR1.03_mouse1_GC16,1,16
D20_M20_GC55,20,55,D20_M20_GC57,20,57,PR1.03_mouse1_GC17,1,17
D20_M20_GC56,20,56,D20_M20_GC58,20,58,PR1.04_mouse1_GC1,1,1
D20_M20_GC57,20,57,D20_M20_GC59,20,59,PR1.04_mouse1_GC2,1,2
D20_M20_GC58,20,58,D20_M20_GC60,20,60,PR1.04_mouse1_GC6,1,6
D20_M20_GC59,20,59,D20_M20_GC61,20,61,PR1.04_mouse1_GC14,1,14
D20_M20_GC60,20,60,D20_M20_GC62,20,62,PR1.04_mouse1_GC15,1,15
D20_M20_GC61,20,61,D20_M20_GC63,20,63,PR1.05_mouse1_GC13,1,13
D20_M20_GC62,20,62,D20_M20_GC64,20,64,PR1.05_mouse1_GC18,1,18
D20_M20_GC63,20,63,D20_M20_GC65,20,65,PR1.06_mouse1_GC19,1,19
D20_M20_GC64,20,64,D20_M20_GC66,20,66,PR1.07_mouse1_GC11,1,11
D20_M20_GC65,20,65,D20_M20_GC67,20,67,PR1.07_mouse1_GC12,1,12
D20_M20_GC66,20,66,D20_M20_GC68,20,68,PR1.08_mouse1_GC3,1,3
D20_M20_GC67,20,67,D20_M20_GC69,20,69,PR1.08_mouse1_GC4,1,4
D20_M20_GC68,20,68,D20_M20_GC70,20,70,PR1.08_mouse1_GC5,1,5
D20_M20_GC69,20,69,D20_M20_GC71,20,71,PR1.08_mouse1_GC7,1,7
D20_M21_GC70,21,70,D20_M21_GC72,21,72,PR1.01_mouse2_GC32,2,32
D20_M21_GC71,21,71,D20_M21_GC73,21,73,PR1.02_mouse2_GC38,2,38
D20_M21_GC72,21,72,D20_M21_GC74,21,74,PR1.03_mouse2_GC30,2,30
D20_M21_GC73,21,73,D20_M21_GC75,21,75,PR1.03_mouse2_GC31,2,31
D20_M21_GC74,21,74,D20_M21_GC76,21,76,PR1.03_mouse2_GC39,2,39
D20_M21_GC75,21,75,D20_M21_GC77,21,77,PR1.05_mouse2_GC21,2,21
D20_M21_GC76,21,76,D20_M21_GC78,21,78,PR1.05_mouse2_GC23,2,23
D20_M21_GC77,21,77,D20_M21_GC79,21,79,PR1.05_mouse2_GC24,2,24
D20_M21_GC78,21,78,D20_M21_GC80,21,80,PR1.05_mouse2_GC25,2,25
D20_M21_GC79,21,79,D20_M21_GC81,21,81,PR1.05_mouse2_GC26,2,26
D20_M21_GC80,21,80,D20_M21_GC82,21,82,PR1.07_mouse2_GC28,2,28
D20_M21_GC81,21,81,D20_M21_GC83,21,83,PR1.07_mouse2_GC29,2,29
D20_M21_GC82,21,82,D20_M21_GC84,21,84,PR1.07_mouse2_GC34,2,34
D20_M21_GC83,21,83,D20_M21_GC85,21,85,PR1.08_mouse2_GC22,2,22
D20_M21_GC84,21,84,D20_M21_GC86,21,86,PR1.08_mouse2_GC40,2,40
D20_M22_GC85,22,85,D20_M22_GC87,22,87,PR1.02_mouse3_GC55,3,55
D20_M22_GC86,22,86,D20_M22_GC88,22,88,PR1.02_mouse3_GC58,3,58
D20_M22_GC87,22,87,D20_M22_GC89,22,89,PR1.02_mouse3_GC72,3,72
D20_M22_GC88,22,88,D20_M22_GC90,22,90,PR1.03_mouse3_GC46,3,46
D20_M22_GC89,22,89,D20_M22_GC91,22,91,PR1.03_mouse3_GC56,3,56
D20_M22_GC90,22,90,D20_M22_GC92,22,92,PR1.03_mouse3_GC59,3,59
D20_M22_GC91,22,91,D20_M22_GC93,22,93,PR1.06_mouse3_GC66,3,66
D20_M22_GC92,22,92,D20_M22_GC94,22,94,PR1.07_mouse3_GC41,3,41
D20_M22_GC93,22,93,D20_M22_GC95,22,95,PR1.07_mouse3_GC43,3,43
D20_M22_GC94,22,94,D20_M22_GC96,22,96,PR1.07_mouse3_GC44,3,44
D20_M22_GC95,22,95,D20_M22_GC97,22,97,PR1.07_mouse3_GC45,3,45
D20_M22_GC96,22,96,D20_M22_GC98,22,98,PR1.07_mouse3_GC64,3,64
D20_M22_GC97,22,97,D20_M22_GC99,22,99,PR1.07_mouse3_GC65,3,65
D20_M22_GC98,22,98,D20_M22_GC100,22,100,PR1.08_mouse3_GC42,3,42
D20_M22_GC99,22,99,D20_M22_GC101,22,101,PR1.08_mouse3_GC57,3,57
D20_M23_GC100,23,100,D20_M23_GC102,23,102,PR1.02_mouse4_GC47,4,47
D20_M23_GC101,23,101,D20_M23_GC103,23,103,PR1.02_mouse4_GC48,4,48
D20_M23_GC102,23,102,D20_M23_GC104,23,104,PR1.02_mouse4_GC73,4,73
D20_M23_GC103,23,103,D20_M23_GC105,23,105,PR1.03_mouse4_GC50,4,50
D20_M23_GC104,23,104,D20_M23_GC106,23,106,PR1.04_mouse4_GC68,4,68
D20_M23_GC105,23,105,D20_M23_GC107,23,107,PR1.04_mouse4_GC69,4,69
D20_M23_GC106,23,106,D20_M23_GC108,23,108,PR1.04_mouse4_GC70,4,70
D20_M23_GC107,23,107,D20_M23_GC109,23,109,PR1.07_mouse4_GC63,4,63
D20_M23_GC108,23,108,D20_M23_GC110,23,110,PR1.08_mouse4_GC67,4,67
D20_M23_GC109,23,109,D20_M23_GC111,23,111,PR1.08_mouse4_GC71,4,71
D20_M24_GC110,24,110,D20_M24_GC112,24,112,PR1.02_mouse5_GC78,5,78
D20_M24_GC111,24,111,D20_M24_GC113,24,113,PR1.02_mouse5_GC82,5,82
D20_M24_GC112,24,112,D20_M24_GC114,24,114,PR1.02_mouse5_GC83,5,83
D20_M24_GC113,24,113,D20_M24_GC115,24,115,PR1.04_mouse5_GC79,5,79
D20_M24_GC114,24,114,D20_M24_GC116,24,116,PR1.04_mouse5_GC80,5,80
D20_M24_GC115,24,115,D20_M24_GC117,24,117,PR1.04_mouse5_GC81,5,81
D20_M25_GC116,25,116,D20_M25_GC118,25,118,PR1.02_mouse6_GC74,6,74
D20_M25_GC117,25,117,D20_M25_GC119,25,119,PR1.03_mouse6_GC77,6,77
D20_M25_GC118,25,118,D20_M25_GC120,25,120,PR1.08_mouse6_GC75,6,75
D20_M25_GC119,25,119,D20_M25_GC121,25,121,PR1.08_mouse6_GC76,6,76
W10_M26_GC120,26,120,W10_M26_GC122,26,122,PR1.05_mouse7_GC90,7,90
W10_M26_GC121,26,121,W10_M26_GC123,26,123,PR1.05_mouse7_GC91,7,91
W10_M26_GC122,26,122,W10_M26_GC124,26,124,PR1.05_mouse7_GC92,7,92
W10_M26_GC123,26,123,W10_M26_GC125,26,125,PR1.05_mouse7_GC93,7,93
W10_M27_GC124,27,124,W10_M27_GC126,27,126,PR1.05_mouse8_GC85,8,85
W10_M27_GC125,27,125,W10_M27_GC127,27,127,PR1.05_mouse8_GC86,8,86
W10_M27_GC126,27,126,W10_M27_GC128,27,128,PR1.05_mouse8_GC89,8,89
W10_M27_GC127,27,127,W10_M27_GC129,27,129,PR1.06_mouse8_GC84,8,84
W10_M27_GC128,27,128,W10_M27_GC130,27,130,PR1.06_mouse8_GC87,8,87
W10_M27_GC129,27,129,W10_M27_GC131,27,131,PR1.06_mouse8_GC88,8,88
