uid,mouse,gc,2024_12_uid,2024_12_mouse,2024_12_gc,2024_09_uid,2024_09_mouse,2024_09_gc
D15_M1_GC1,1,1,D15_M1_GC1,1,1,PR2.01_mouse1_GC1A,1,1A
D15_M1_GC2,1,2,D15_M1_GC2,1,2,PR2.01_mouse1_GC1C,1,1C
D15_M1_GC3,1,3,D15_M1_GC3,1,3,PR2.01_mouse1_GC1D,1,1D
D15_M2_GC4,2,4,D15_M2_GC4,2,4,PR2.01_mouse2_GC2A,2,2A
D15_M3_GC5,3,5,D15_M3_GC5,3,5,PR2.01_mouse3_GC3A,3,3A
D15_M3_GC6,3,6,D15_M3_GC6,3,6,PR2.01_mouse3_GC3B,3,3B
D15_M4_GC7,4,7,D15_M4_GC7,4,7,PR2.01_mouse4_GC4A,4,4A
D15_M4_GC8,4,8,D15_M4_GC8,4,8,PR2.01_mouse4_GC4B,4,4B
D15_M5_GC9,5,9,D15_M5_GC9,5,9,PR2.01_mouse5_GC5B,5,5B
D15_M5_GC10,5,10,D15_M5_GC10,5,10,PR2.01_mouse5_GC5D,5,5D
D15_M6_GC11,6,11,D15_M6_GC11,6,11,PR2.01_mouse6_GC6A,6,6A
D15_M6_GC12,6,12,D15_M6_GC12,6,12,PR2.01_mouse6_GC6B,6,6B
D15_M6_GC13,6,13,D15_M6_GC13,6,13,PR2.01_mouse6_GC6C,6,6C
D15_M6_GC14,6,14,D15_M6_GC14,6,14,PR2.01_mouse6_GC6D,6,6D
D15_M7_GC15,7,15,D15_M7_GC15,7,15,PR2.02_mouse7_GC7C,7,7C
D15_M7_GC16,7,16,D15_M7_GC16,7,16,PR2.02_mouse7_GC7A,7,7A
D15_M8_GC17,8,17,D15_M8_GC17,8,17,PR2.02_mouse8_GC8C,8,8C
D15_M9_GC18,9,18,D15_M9_GC18,9,18,PR2.01_mouse9_GC9D,9,9D
D15_M9_GC19,9,19,D15_M9_GC19,9,19,PR2.02_mouse9_GC9C,9,9C
D15_M10_GC20,10,20,D15_M10_GC20,10,20,PR2.01_mouse10_GC10B,10,10B
D15_M10_GC21,10,21,D15_M10_GC21,10,21,PR2.02_mouse10_GC10C,10,10C
D15_M10_GC22,10,22,D15_M10_GC22,10,22,PR2.02_mouse10_GC10D,10,10D
D15_M10_GC23,10,23,D15_M10_GC23,10,23,PR2.02_mouse10_GC10A,10,10A
D15_M11_GC24,11,24,D15_M11_GC24,11,24,PR2.02_mouse11_GC11A,11,11A
D15_M11_GC25,11,25,D15_M11_GC25,11,25,PR2.02_mouse11_GC11C,11,11C
D15_M11_GC26,11,26,D15_M11_GC26,11,26,PR2.02_mouse11_GC11D,11,11D
D15_M12_GC27,12,27,D15_M12_GC27,12,27,PR2.02_mouse12_GC12A,12,12A
D15_M12_GC28,12,28,D15_M12_GC29,12,29,PR2.02_mouse12_GC12D,12,12D
D15_M12_GC29,12,29,D15_M12_GC30,12,30,PR2.02_mouse12_GC12C,12,12C
D15_M13_GC30,13,30,D15_M13_GC31,13,31,PR2.03_mouse1_GC2A,1,2A
