PR,imm_duration,strain,new_mouse ,old_mouse,plate,new_gc(2024_12),old_gc,uid,node,cell_type,hc_barcode,lc_barcode,old_uid
2.01,d15,wt,1,1,2,1,1A,D15_M1_GC1,RP,GC,9,9,PR2.01_mouse1_GC1A
2.01,d15,wt,1,1,3,2,1C,D15_M1_GC2,RI,GC,2,1,PR2.01_mouse1_GC1C
2.01,d15,wt,1,1,4,3,1D,D15_M1_GC3,LI,GC,14,2,PR2.01_mouse1_GC1D
2.01,d15,wt,2,2,5,4,2A,D15_M2_GC4,RP,GC,10,11,PR2.01_mouse2_GC2A
2.01,d15,wt,3,3,6,5,3A,D15_M3_GC5,RP,GC,7,4,PR2.01_mouse3_GC3A
2.01,d15,wt,3,3,7,6,3B,D15_M3_GC6,LP,GC,8,15,PR2.01_mouse3_GC3B
2.01,d15,wt,4,4,8,7,4A,D15_M4_GC7,RP,GC,6,16,PR2.01_mouse4_GC4A
2.01,d15,wt,4,4,9,8,4B,D15_M4_GC8,LP,GC,4,3,PR2.01_mouse4_GC4B
2.01,d15,wt,5,5,10,9,5B,D15_M5_GC9,LP,GC,5,5,PR2.01_mouse5_GC5B
2.01,d15,wt,5,5,11,10,5D,D15_M5_GC10,LI,GC,3,12,PR2.01_mouse5_GC5D
2.01,d15,wt,6,6,12,11,6A,D15_M6_GC11,RP,GC,15,14,PR2.01_mouse6_GC6A
2.01,d15,wt,6,6,13,12,6B,D15_M6_GC12,LP,GC,1,13,PR2.01_mouse6_GC6B
2.01,d15,wt,6,6,14,13,6C,D15_M6_GC13,RI,GC,11,6,PR2.01_mouse6_GC6C
2.01,d15,wt,6,6,15,14,6D,D15_M6_GC14,LI,GC,13,8,PR2.01_mouse6_GC6D
2.02,d15,wt,7,7,7,15,7C,D15_M7_GC15,RI,GC,7,7,PR2.02_mouse7_GC7C
2.02,d15,wt,7,7,9,16,7A,D15_M7_GC16,RP,GC,9,9,PR2.02_mouse7_GC7A
2.02,d15,wt,8,8,2,17,8C,D15_M8_GC17,RI,GC,2,2,PR2.02_mouse8_GC8C
