PR	imm_duration	strain	mouse	plate	gc	node	cell_type	hc_barcode	lc_barcode	row	col
2.02	d15	wt	12	1	12A	RP	GC	1	1	A.B.C.D.E.F.G.H	1.2.3.4.5.6.7.8.9.10.11.12
2.03	d15	wt	3	1	10A	LP	GC	1	1	A.B.C.D.E.F.G.H	1.2.3.4.5.6.7.8.9.10.11.12
2.01	d15	wt	1	3	1C	RI	GC	2	1	A.B.C.D.E.F.G.H	1.2.3.4.5.6.7.8.9.10.11.12
2.02	d15	wt	8	2	8C	RI	GC	2	2	A.B.C.D.E.F.G.H	1.2.3.4.5.6.7.8.9.10.11.12
2.03	d15	wt	2	2	6A	LP	GC	2	2	A.B.C.D.E.F.G.H	1.2.3.4.5.6.7.8.9.10.11.12
2.01	d15	wt	1	4	1D	LI	GC	14	2	A.B.C.D.E.F.G.H	1.2.3.4.5.6.7.8.9.10.11.12
2.02	d15	wt	11	3	11A	RP	GC	3	3	A.B.C.D.E.F.G.H	1.2.3.4.5.6.7.8.9.10.11.12
2.03	d15	wt	1	3	2A	LP	GC	3	3	A.B.C.D.E.F.G.H	1.2.3.4.5.6.7.8.9.10.11.12
2.01	d15	wt	4	9	4B	LP	GC	4	3	A.B.C.D.E.F.G.H	1.2.3.4.5.6.7.8.9.10.11.12
2.02	d15	wt	10	4	10C	RI	GC	4	4	A.B.C.D.E.F.G.H	1.2.3.4.5.6.7.8.9.10.11.12
2.03	d15	wt	5	4	19A	RI	GC	4	4	A.B.C.D.E.F.G.H	1.2.3.4.5.6.7.8.9.10.11.12
2.01	d15	wt	3	6	3A	RP	GC	7	4	A.B.C.D.E.F.G.H	1.2.3.4.5.6.7.8.9.10.11.12
2.01	d15	wt	5	10	5B	LP	GC	5	5	A.B.C.D.E.F.G.H	1.2.3.4.5.6.7.8.9.10.11.12
2.02	d15	wt	11	5	11C	RI	GC	5	5	A.B.C.D.E.F.G.H	1.2.3.4.5.6.7.8.9.10.11.12
2.03	d15	wt	6	5	21B	LP	GC	5	5	A.B.C.D.E.F.G.H	1.2.3.4.5.6.7.8.9.10.11.12
2.04	d15	wt	1	5	1B	RP	GC	5	5	A.B.C.D.E.F.G.H	1.2.3.4.5.6.7.8.9.10.11.12
2.02	d15	wt	11	6	11D	LI	GC	6	6	A.B.C.D.E.F.G.H	1.2.3.4.5.6.7.8.9.10.11.12
2.03	d15	wt	2	6	7B	RI	GC	6	6	A.B.C.D.E.F.G.H	1.2.3.4.5.6.7.8.9.10.11.12
2.04	d15	wt	1	6	1A	RP	GC	6	6	A.B.C.D.E.F.G.H	1.2.3.4.5.6.7.8.9.10.11.12
2.01	d15	wt	6	14	6C	RI	GC	11	6	A.B.C.D.E.F.G.H	1.2.3.4.5.6.7.8.9.10.11.12
2.02	d15	wt	7	7	7C	RI	GC	7	7	A.B.C.D.E.F.G.H	1.2.3.4.5.6.7.8.9.10.11.12
2.03	d15	wt	7	7	25A	LP	GC	7	7	A.B.C.D.E.F.G.H	1.2.3.4.5.6.7.8.9.10.11.12
2.04	d15	wt	2	7	5A	RP	GC	7	7	A.B.C.D.E.F.G.H	1.2.3.4.5.6.7.8.9.10.11.12
